,abv,country,gold,silver,bronze,total
0,AUS,Australia,2,0,0,2
1,AUT,Austria,2,1,2,5
2,DEN,Denmark,1,2,3,6
3,FRA,France,5,4,2,11
4,GER,Germany,6,5,2,13
5,GBR,Great Britain,2,3,2,7
6,GRE,Greece,10,18,19,47
7,HUN,Hungary,2,1,3,6
8,MIX,Mixed team,1,0,1,2
9,SUI,Switzerland,1,2,0,3
10,USA,United States of America,11,7,2,20
