,abv,country,gold,silver,bronze,total
0,AUT,Austria,1,2,3,6
1,CAN,Canada,2,1,1,4
2,TCH,Czechoslovakia,0,1,0,1
3,FIN,Finland,2,3,3,8
4,FRA,France,1,0,2,3
5,GER,Germany,4,3,1,8
6,ITA,Italy,0,0,1,1
7,NED,Netherlands,0,1,1,2
8,NOR,Norway,3,3,0,6
9,POL,Poland,0,1,1,2
10,SWE,Sweden,3,2,2,7
11,SUI,Switzerland,2,0,0,2
12,USSR,USSR,7,5,9,21
13,USA,United States of America,3,4,3,10
