,abv,country,gold,silver,bronze,total
0,AUT,Austria,4,5,3,12
1,CAN,Canada,1,1,1,3
2,TCH,Czechoslovakia,0,0,1,1
3,PRK,Democratic People's Republic of Korea,0,1,0,1
4,FIN,Finland,3,4,3,10
5,FRA,France,3,4,0,7
6,GER,Germany,3,3,3,9
7,GBR,Great Britain,1,0,0,1
8,ITA,Italy,0,1,3,4
9,NED,Netherlands,1,1,0,2
10,NOR,Norway,3,6,6,15
11,SWE,Sweden,3,3,1,7
12,USSR,USSR,11,8,6,25
13,USA,United States of America,1,2,4,7
