,abv,country,gold,silver,bronze,total
0,AUT,Austria,2,2,2,6
1,CAN,Canada,1,1,1,3
2,TCH,Czechoslovakia,0,1,0,1
3,FRG,Federal Republic of Germany,2,5,3,10
4,FIN,Finland,2,4,1,7
5,FRA,France,0,0,1,1
6,GDR,German Democratic Republic (Germany),7,5,7,19
7,GBR,Great Britain,1,0,0,1
8,ITA,Italy,1,2,1,4
9,LIE,Liechtenstein,0,0,2,2
10,NED,Netherlands,1,2,3,6
11,NOR,Norway,3,3,1,7
12,SWE,Sweden,0,0,2,2
13,SUI,Switzerland,1,3,1,5
14,USSR,USSR,13,6,8,27
15,USA,United States of America,3,3,4,10
