,abv,country,gold,silver,bronze,total
0,AUT,Austria,3,4,4,11
1,CAN,Canada,1,1,1,3
2,TCH,Czechoslovakia,1,2,1,4
3,FRG,Federal Republic of Germany,2,2,3,7
4,FIN,Finland,1,2,2,5
5,FRA,France,4,3,2,9
6,GDR,German Democratic Republic (Germany),1,2,2,5
7,ITA,Italy,4,0,0,4
8,NED,Netherlands,3,3,3,9
9,NOR,Norway,6,6,2,14
10,ROU,Romania,0,0,1,1
11,SWE,Sweden,3,2,3,8
12,SUI,Switzerland,0,2,4,6
13,USSR,USSR,5,5,3,13
14,USA,United States of America,1,5,1,7
