,country,gold,silver,bronze,total
0,Austria,1,1,0,2
1,Canada,1,1,5,7
2,Finland,1,1,1,3
3,France,1,0,0,1
4,Germany,0,0,2,2
5,Hungary,0,0,1,1
6,Norway,3,4,3,10
7,Sweden,1,2,0,3
8,Switzerland,0,1,0,1
9,United States of America,6,4,2,12
