,country,gold,silver,bronze,total
0,Argentina,3,1,0,4
1,Australia,3,1,1,5
2,Austria,1,1,3,5
3,Belgium,0,0,1,1
4,Canada,2,5,9,16
5,Czechoslovakia,1,3,2,6
6,Denmark,0,5,3,8
7,Finland,5,8,12,25
8,France,11,5,4,20
9,Germany,5,12,7,24
10,Great Britain,5,7,5,17
11,Hungary,6,5,5,16
12,India,1,0,0,1
13,Ireland,2,0,0,2
14,Italy,12,12,12,36
15,Japan,7,7,4,18
16,Latvia,0,1,0,1
17,Mexico,0,2,0,2
18,Netherlands,2,5,1,8
19,New Zealand,0,1,0,1
20,Philippines,0,0,3,3
21,Poland,3,2,4,9
22,South Africa,2,0,3,5
23,Spain,0,0,1,1
24,Sweden,10,5,9,24
25,Switzerland,0,1,0,1
26,United States of America,44,36,30,110
27,Uruguay,0,0,1,1
