,abv,country,gold,silver,bronze,total
0,USA,United States of America,80,85,83,248
1,GER,Germany,5,4,5,14
2,CAN,Canada,4,1,1,6
3,CUB,Cuba,3,0,0,3
4,HUN,Hungary,2,1,1,4
5,GBR,Great Britain,1,1,0,2
6,GRE,Greece,1,0,1,2
7,MIX,Mixed Team,1,0,0,1
