,abv,country,gold,silver,bronze,total
0,AUT,Austria,1,2,2,5
1,CAN,Canada,0,1,0,1
2,TCH,Czechoslovakia,1,0,2,3
3,FRG,Federal Republic of Germany,3,1,1,5
4,FIN,Finland,0,4,1,5
5,FRA,France,0,1,2,3
6,GDR,German Democratic Republic (Germany),4,3,7,14
7,ITA,Italy,2,2,1,5
8,JPN,Japan,1,1,1,3
9,NED,Netherlands,4,3,2,9
10,NOR,Norway,2,5,5,12
11,POL,Poland,1,0,0,1
12,ESP,Spain,1,0,0,1
13,SWE,Sweden,1,1,2,4
14,SUI,Switzerland,4,3,3,10
15,USSR,USSR,8,5,3,16
16,USA,United States of America,3,2,3,8
