,abv,country,gold,silver,bronze,total
0,AUT,Austria,2,4,2,8
1,CAN,Canada,1,0,1,2
2,FIN,Finland,3,4,2,9
3,FRA,France,0,0,1,1
4,GER,Germany,3,2,2,7
5,GBR,Great Britain,1,0,0,1
6,HUN,Hungary,0,0,1,1
7,ITA,Italy,1,0,1,2
8,NED,Netherlands,0,3,0,3
9,NOR,Norway,7,3,6,16
10,SWE,Sweden,0,0,4,4
11,SUI,Switzerland,0,0,2,2
12,USA,United States of America,4,6,1,11
