,abv,country,gold,silver,bronze,total
0,AUT,Austria,1,1,2,4
1,CAN,Canada,0,1,0,1
2,FIN,Finland,1,2,3,6
3,FRA,France,0,0,1,1
4,GER,Germany,3,3,0,6
5,GBR,Great Britain,1,1,1,3
6,HUN,Hungary,0,0,1,1
7,NOR,Norway,7,5,3,15
8,SWE,Sweden,2,2,3,7
9,SUI,Switzerland,1,2,0,3
10,USA,United States of America,1,0,3,4
