,abv,country,gold,silver,bronze,total
0,ARG,Argentina,0,1,2,3
1,ARM,Armenia,0,2,2,4
2,AUS,Australia,17,7,22,46
3,AUT,Austria,1,1,5,7
4,AZE,Azerbaijan,0,3,4,7
5,BAH,Bahamas,2,0,0,2
6,BRN,Bahrain,0,1,0,1
7,BOC,Belarus,1,3,3,7
8,BEL,Belgium,3,1,3,7
9,BER,Bermuda,1,0,0,1
10,BOT,Botswana,0,0,1,1
11,BRA,Brazil,7,6,8,21
12,BUL,Bulgaria,3,1,2,6
13,BUR,Burkina Faso,0,0,1,1
14,CAN,Canada,7,7,10,24
15,TPE,Chinese Taipei,2,4,6,12
16,COL,Colombia,0,4,1,5
17,CRO,Croatia,3,3,2,8
18,CUB,Cuba,7,3,5,15
19,CZE,Czechia,4,4,3,11
20,CIV,Côte d'Ivoire,0,0,1,1
21,DEN,Denmark,3,4,4,11
22,DOM,Dominican Republic,0,3,2,5
23,ECU,Ecuador,2,1,0,3
24,EGY,Egypt,1,1,4,6
25,EST,Estonia,1,0,1,2
26,ETH,Ethiopia,1,1,2,4
27,FIJ,Fiji,1,0,1,2
28,FIN,Finland,0,0,2,2
29,FRA,France,10,12,11,33
30,GEO,Georgia,2,5,1,8
31,GER,Germany,10,11,16,37
32,GHA,Ghana,0,0,1,1
33,GBR,Great Britain,22,20,22,64
34,GRE,Greece,2,1,1,4
35,GRN,Grenada,0,0,1,1
36,HKG,"Hong Kong, China",1,2,3,6
37,HUN,Hungary,6,7,7,20
38,IND,India,1,2,4,7
39,INA,Indonesia,1,1,3,5
40,IRL,Ireland,2,0,2,4
41,IRI,Islamic Republic of Iran,3,2,2,7
42,ISR,Israel,2,0,2,4
43,ITA,Italy,10,10,20,40
44,JAM,Jamaica,4,1,4,9
45,JPN,Japan,27,14,17,58
46,JOR,Jordan,0,1,1,2
47,KAZ,Kazakhstan,0,0,8,8
48,KEN,Kenya,4,4,2,10
49,KOS,Kosovo,2,0,0,2
50,KUW,Kuwait,0,0,1,1
51,KGZ,Kyrgyzstan,0,2,1,3
52,LAT,Latvia,1,0,1,2
53,LTU,Lithuania,0,1,0,1
54,MAS,Malaysia,0,1,1,2
55,MEX,Mexico,0,0,4,4
56,MGL,Mongolia,0,1,3,4
57,MAR,Morocco,1,0,0,1
58,NAM,Namibia,0,1,0,1
59,NED,Netherlands,10,12,14,36
60,NZL,New Zealand,7,6,7,20
61,NGR,Nigeria,0,1,1,2
62,MKD,North Macedonia,0,1,0,1
63,NOR,Norway,4,2,2,8
64,CHN,People's Republic of China,38,32,19,89
65,PHI,Philippines,1,2,1,4
66,POL,Poland,4,5,5,14
67,POR,Portugal,1,1,2,4
68,PUR,Puerto Rico,1,0,0,1
69,QAT,Qatar,2,0,1,3
70,ROC,ROC,20,28,23,71
71,KOR,Republic of Korea,6,4,10,20
72,MDA,Republic of Moldova,0,0,1,1
73,ROU,Romania,1,3,0,4
74,SMR,San Marino,0,1,2,3
75,KSA,Saudi Arabia,0,1,0,1
76,SRB,Serbia,3,1,5,9
77,SVK,Slovakia,1,2,1,4
78,SLO,Slovenia,3,1,1,5
79,RSA,South Africa,1,2,0,3
80,ESP,Spain,3,8,6,17
81,SWE,Sweden,3,6,0,9
82,SUI,Switzerland,3,4,6,13
83,SYR,Syrian Arab Republic,0,0,1,1
84,THA,Thailand,1,0,1,2
85,TUN,Tunisia,1,1,0,2
86,TKM,Turkmenistan,0,1,0,1
87,TUR,Türkiye,2,2,9,13
88,UGA,Uganda,2,1,1,4
89,UKR,Ukraine,1,6,12,19
90,USA,United States of America,39,41,33,113
91,UZB,Uzbekistan,3,0,2,5
92,VEN,Venezuela,1,3,0,4
