,abv,country,gold,silver,bronze,total
0,AFG,Afghanistan,0,0,1,1
1,ALG,Algeria,1,0,0,1
2,ARG,Argentina,1,1,2,4
3,ARM,Armenia,0,1,1,2
4,AUS,Australia,8,15,12,35
5,AZE,Azerbaijan,2,2,5,9
6,BAH,Bahamas,1,0,0,1
7,BRN,Bahrain,1,0,0,1
8,BOC,Belarus,2,5,3,10
9,BEL,Belgium,0,1,2,3
10,BOT,Botswana,0,1,0,1
11,BRA,Brazil,3,5,9,17
12,BUL,Bulgaria,0,2,1,3
13,CMR,Cameroon,0,0,1,1
14,CAN,Canada,2,6,10,18
15,TPE,Chinese Taipei,1,0,1,2
16,COL,Colombia,1,3,5,9
17,CRO,Croatia,3,1,2,6
18,CUB,Cuba,5,3,7,15
19,CYP,Cyprus,0,1,0,1
20,CZE,Czechia,4,4,3,11
21,PRK,Democratic People's Republic of Korea,4,0,2,6
22,DEN,Denmark,2,4,3,9
23,DOM,Dominican Republic,1,1,0,2
24,EGY,Egypt,0,3,1,4
25,EST,Estonia,0,1,1,2
26,ETH,Ethiopia,3,2,3,8
27,FIN,Finland,0,2,1,3
28,FRA,France,11,11,13,35
29,GAB,Gabon,0,1,0,1
30,GEO,Georgia,1,2,3,6
31,GER,Germany,11,20,13,44
32,GBR,Great Britain,29,18,18,65
33,GRE,Greece,0,0,2,2
34,GRN,Grenada,1,0,0,1
35,GUA,Guatemala,0,1,0,1
36,HKG,"Hong Kong, China",0,0,1,1
37,HUN,Hungary,8,4,6,18
38,IND,India,0,2,4,6
39,INA,Indonesia,0,2,1,3
40,IRL,Ireland,1,1,4,6
41,IRI,Islamic Republic of Iran,7,5,1,13
42,ITA,Italy,8,9,11,28
43,JAM,Jamaica,4,5,4,13
44,JPN,Japan,7,14,17,38
45,KAZ,Kazakhstan,3,1,7,11
46,KEN,Kenya,2,4,7,13
47,KUW,Kuwait,0,0,1,1
48,LAT,Latvia,1,0,1,2
49,LTU,Lithuania,2,0,3,5
50,MAS,Malaysia,0,1,1,2
51,MEX,Mexico,1,3,4,8
52,MGL,Mongolia,0,2,3,5
53,MNE,Montenegro,0,1,0,1
54,MAR,Morocco,0,0,1,1
55,NED,Netherlands,6,6,8,20
56,NZL,New Zealand,6,2,5,13
57,NOR,Norway,2,1,1,4
58,CHN,People's Republic of China,39,31,22,92
59,POL,Poland,3,2,6,11
60,POR,Portugal,0,1,0,1
61,PUR,Puerto Rico,0,1,1,2
62,QAT,Qatar,0,1,1,2
63,KOR,Republic of Korea,13,9,9,31
64,ROU,Romania,2,4,1,7
65,RUS,Russian Federation,18,21,26,65
66,KSA,Saudi Arabia,0,0,1,1
67,SRB,Serbia,1,1,2,4
68,SGP,Singapore,0,0,2,2
69,SVK,Slovakia,0,1,3,4
70,SLO,Slovenia,1,1,2,4
71,RSA,South Africa,4,1,1,6
72,ESP,Spain,4,10,6,20
73,SWE,Sweden,1,4,3,8
74,SUI,Switzerland,2,2,0,4
75,TJK,Tajikistan,0,0,1,1
76,THA,Thailand,0,2,2,4
77,TTO,Trinidad and Tobago,1,1,2,4
78,TUN,Tunisia,2,0,1,3
79,TUR,Türkiye,1,1,1,3
80,UGA,Uganda,1,0,0,1
81,UKR,Ukraine,5,4,10,19
82,USA,United States of America,48,26,30,104
83,UZB,Uzbekistan,0,0,3,3
84,VEN,Venezuela,1,0,0,1
85,VIE,Vietnam,0,0,1,1
